"country","code","region","year","life_exp","gdp_per_cap","pop"
"Congo, Rep.","cog","Africa",1850,32.7,662,391323
"Costa Rica","cri","Americas",1850,30.21,1087,100882
"Cote d'Ivoire","civ","Africa",1850,31.16,992,1335437
"Cuba","cub","Americas",1850,36.26,1543,1181650
"Cyprus","cyp","Europe",1850,38.51,1220,185383
"Czech Republic","cze","Europe",1850,34.95,2452,6157866
"Denmark","dnk","Europe",1850,43.5,3029,1511190
"Djibouti","dji","Africa",1850,29.9,881,28798
"Dominican Republic","dom","Americas",1850,29.9,787,150616
"Ecuador","ecu","Americas",1850,32.9,643,807027
"Egypt","egy","Africa",1850,33,911,5738339
"El Salvador","slv","Americas",1850,28.7,1257,369053
"Equatorial Guinea","gnq","Africa",1850,29.8,380,88807
"Eritrea","eri","Africa",1850,30.2,576,305654
"Estonia","est","Europe",1850,34.02,1166,440656
"Ethiopia","eth","Africa",1850,29.7,530,4517871
"Fiji","fji","Asia",1850,26.1,872,137063
"Finland","fin","Europe",1850,37.35,1512,1607810
"France","fra","Europe",1850,43.28,2146,36277905
"Gabon","gab","Africa",1850,30.6,393,203580
"Gambia","gmb","Africa",1850,28.8,838,129198
"Georgia","geo","Europe",1850,31.87,628,1413431
"Germany","deu","Europe",1850,38.37,2182,33663143
"Ghana","gha","Africa",1850,28,724,1741881
"Greece","grc","Europe",1850,36.6,1815,3048571
"Grenada","grd","Americas",1850,37.3,1092,32404
"Guatemala","gtm","Americas",1850,25.81,1097,852410
"Guinea","gin","Africa",1850,30.02,480,1283517
"Guinea-Bissau","gnb","Africa",1850,32,799,266586
"Guyana","guy","Americas",1850,31.12,1490,204328
"Haiti","hti","Americas",1850,29,862,943260
"Honduras","hnd","Americas",1850,33.9,992,330619
"Hong Kong, China","hkg","Asia",1850,34.9,1080,38893
"Hungary","hun","Europe",1850,36,1583,5159444
"Iceland","isl","Europe",1850,36.61,1287,74711
"India","ind","Asia",1850,25.44,1055,196657653
"Indonesia","idn","Asia",1850,30,1043,21979198
"Iran","irn","Asia",1850,25.6,1037,7620641
"Iraq","irq","Asia",1850,31.2,1099,1364818
"Ireland","irl","Europe",1850,31.2,1800,5071239
"Israel","isr","Asia",1850,32,886,214587
"Italy","ita","Europe",1850,29.69,2435,24478190
"Jamaica","jam","Americas",1850,34.2,915,411331
"Japan","jpn","Asia",1850,36.42,1125,32223184
"Jordan","jor","Asia",1850,31.7,1107,245270
"Kazakhstan","kaz","Asia",1850,26.2,1417,2689863
"Kenya","ken","Africa",1850,25.5,998,2574000
"Kiribati","kir","Asia",1850,24.9,576,19511
"North Korea","prk","Asia",1850,26,550,4443898
"South Korea","kor","Asia",1850,25.8,547,9558873
"Kuwait","kwt","Asia",1850,26,1323,81280
"Kyrgyz Republic","kgz","Asia",1850,23.94,663,698710
"Lao","lao","Asia",1850,31.9,931,625637
"Latvia","lva","Europe",1850,33,933,779141
"Lebanon","lbn","Asia",1850,29.7,1350,412508
"Lesotho","lso","Africa",1850,32.8,404,346589
"Liberia","lbr","Africa",1850,31.1,866,401556
"Libya","lby","Africa",1850,33.1,1521,625135
"Lithuania","ltu","Europe",1850,28.9,1579,1027042
"Luxembourg","lux","Europe",1850,36.9,2077,154534
"Macedonia, FYR","mkd","Europe",1850,36.1,884,510936
"Madagascar","mdg","Africa",1850,30.5,664,2066759
"Malawi","mwi","Africa",1850,30.3,353,737000
"Malaysia","mys","Asia",1850,30.6,1063,534296
"Maldives","mdv","Asia",1850,32.65,842,50501
"Mali","mli","Africa",1850,26.41,611,1852037
"Malta","mlt","Europe",1850,28.7,1032,163051
"Mauritania","mrt","Africa",1850,32,611,433694
"Mauritius","mus","Africa",1850,31.13,1090,201362
"Mexico","mex","Americas",1850,26.9,1294,7754411
"Micronesia, Fed. Sts.","fsm","Asia",1850,26.7,534,19159
"Moldova","mda","Europe",1850,33.15,733,939070
"Mongolia","mng","Asia",1850,31.8,625,647979
"Montenegro","mne","Europe",1850,35.4,1355,165172
"Morocco","mar","Africa",1850,33.1,755,3299305
"Mozambique","moz","Africa",1850,30.28,402,2719675
"Myanmar","mmr","Asia",1850,30.8,846,3933130
"Namibia","nam","Africa",1850,32.4,848,229000
"Nepal","npl","Asia",1850,32.8,659,4353245
"Netherlands","nld","Europe",1850,39.86,4647,3122714
"New Zealand","nzl","Asia",1850,34.05,1898,94934
"Nicaragua","nic","Americas",1850,25.4,1342,345374
"Niger","ner","Africa",1850,30.8,517,1457723
"Nigeria","nga","Africa",1850,30.4,1011,13760390
"Norway","nor","Europe",1850,49.53,1675,1401619
"Oman","omn","Asia",1850,32.3,1040,346606
"Pakistan","pak","Asia",1850,25.8,1023,15069036
"Panama","pan","Americas",1850,32.9,1191,133955
"Papua New Guinea","png","Asia",1850,31.5,607,912100
"Paraguay","pry","Americas",1850,35.5,1219,329615
"Peru","per","Americas",1850,35.7,1307,2003904
"Philippines","phl","Asia",1850,30.9,1008,3160952
"Poland","pol","Europe",1850,35.9,1468,13219914
"Portugal","prt","Europe",1850,35.6,1698,3821571
"Qatar","qat","Asia",1850,30.8,1323,14092
"Romania","rou","Europe",1850,35.7,1233,7994544
"Russia","rus","Europe",1850,29.57,1778,41023821
"Rwanda","rwa","Africa",1850,31.8,459,1118138
"St. Lucia","lca","Americas",1850,28.01,968,24629
"St. Vincent and the Grenadines","vct","Americas",1850,25.99,1029,29971
"Samoa","wsm","Asia",1850,25.4,1555,46077
"Sao Tome and Principe","stp","Africa",1850,31,933,28467
"Saudi Arabia","sau","Asia",1850,32.1,890,2236084
"Senegal","sen","Africa",1850,25.2,576,1236126
"Serbia","srb","Europe",1850,35.5,1740,2799079
"Seychelles","syc","Africa",1850,37,965,13891
"Sierra Leone","sle","Africa",1850,25.1,851,971609
"Singapore","sgp","Asia",1850,34,1095,56355
"Slovak Republic","svk","Europe",1850,36.4,1827,2388322
"Slovenia","svn","Europe",1850,36.6,1805,612303
"Solomon Islands","slb","Asia",1850,25.1,405,65274
"Somalia","som","Africa",1850,29.4,728,1208406
"South Africa","zaf","Africa",1850,33.5,1308,2091873
"Spain","esp","Europe",1850,29.5,1637,14846857
"Sri Lanka","lka","Asia",1850,32.6,928,2177134
"Sudan","sdn","Africa",1850,31.4,601,4687944
"Suriname","sur","Americas",1850,32.9,2009,101302
"Swaziland","swz","Africa",1850,32.3,567,86000
"Sweden","swe","Europe",1850,44.69,1789,3440593
"Switzerland","che","Europe",1850,38,3716,2370905
"Syria","syr","Asia",1850,31.1,1126,1479335
"Tajikistan","tjk","Asia",1850,24.24,664,614819
"Tanzania","tza","Africa",1850,32.2,611,3358108
"Thailand","tha","Asia",1850,30.4,975,5247574
"Timor-Leste","tls","Asia",1850,28.95,575,191539
"Togo","tgo","Africa",1850,31.3,791,581106
"Tonga","ton","Asia",1850,28.2,736,18577
"Trinidad and Tobago","tto","Americas",1850,38.8,1452,83021
"Tunisia","tun","Africa",1850,14,829,1045505
"Turkey","tur","Europe",1850,35,1436,11074762
"Turkmenistan","tkm","Asia",1850,24,1172,484374
"Uganda","uga","Africa",1850,25.3,538,2322049
"Ukraine","ukr","Europe",1850,36.6,948,14822733
"United Arab Emirates","are","Asia",1850,30.7,1203,40153
"United Kingdom","gbr","Europe",1850,42.8,4480,22623571
"United States","usa","Americas",1850,39.41,3059,24136293
"Uruguay","ury","Americas",1850,32.9,3563,142515
"Uzbekistan","uzb","Asia",1850,26.93,552,2530062
"Vanuatu","vut","Asia",1850,24.3,650,31490
"Venezuela","ven","Americas",1850,32.2,781,1298076
"Vietnam","vnm","Asia",1850,32,846,8722624
"Yemen","yem","Asia",1850,23.39,1010,2738662
"Zambia","zmb","Africa",1850,32.6,748,747000
"Zimbabwe","zwe","Africa",1850,33.7,923,1346417
"South Sudan","ssd","Africa",1850,26.67,588,1205835
"Afghanistan","afg","Asia",1860,27.6,692,3973968
"Albania","alb","Europe",1860,35.4,733,552800
"Algeria","dza","Africa",1860,28.82,1134,3536468
"Angola","ago","Africa",1860,26.98,804,2110747
"Antigua and Barbuda","atg","Americas",1860,33.54,994,36532
"Argentina","arg","Americas",1860,33.2,2666,1421333
"Armenia","arm","Europe",1860,34,601,595928
"Australia","aus","Asia",1860,34.05,4795,1256048
"Austria","aut","Europe",1860,34.4,3206,4235926
"Azerbaijan","aze","Europe",1860,29.17,971,1270556
"Bahamas","bhs","Americas",1860,35.18,1897,33625
"Bahrain","bhr","Asia",1860,30.3,1715,64469
"Bangladesh","bgd","Asia",1860,25.5,880,23665237
"Barbados","brb","Americas",1860,32.12,1199,149452
"Belarus","blr","Europe",1860,36.2,775,3404323
"Belgium","bel","Europe",1860,45.12,4240,4753088
"Belize","blz","Americas",1860,26.5,760,25755
"Benin","ben","Africa",1860,31,726,941469
"Bhutan","btn","Asia",1860,28.8,683,109811
"Bolivia","bol","Americas",1860,33,1250,1454100
"Bosnia and Herzegovina","bih","Europe",1860,35.1,786,1210294
"Botswana","bwa","Africa",1860,33.6,483,121300
"Brazil","bra","Americas",1860,31.99,1358,8466005
"Brunei","brn","Asia",1860,29.2,1737,4866
"Bulgaria","bgr","Europe",1860,38.44,1330,2543199
"Burkina Faso","bfa","Africa",1860,29.2,503,2229242
"Burundi","bdi","Africa",1860,31.5,442,1214527
"Cambodia","khm","Asia",1860,35,961,2292897
"Cameroon","cmr","Africa",1860,28.75,762,2095258
"Canada","can","Americas",1860,41.54,2406,3231465
"Cape Verde","cpv","Africa",1860,33.8,629,79725
"Central African Republic","caf","Africa",1860,30,516,581194
"Chad","tcd","Africa",1860,30.9,509,1439871
"Chile","chl","Americas",1860,32,1632,1669298
"China","chn","Asia",1860,28.85,1023,380047548
"Colombia","col","Americas",1860,32,1071,2234376
"Comoros","com","Africa",1860,32.1,740,77147
"Congo, Dem. Rep.","cod","Africa",1860,31.6,621,6725315
"Congo, Rep.","cog","Africa",1860,32.7,681,420500
"Costa Rica","cri","Americas",1860,30.21,1215,115687
"Cote d'Ivoire","civ","Africa",1860,31.16,1033,1427565
"Cuba","cub","Americas",1860,36.24,1733,1324000
"Cyprus","cyp","Europe",1860,38.51,1373,185677
"Czech Republic","cze","Europe",1860,34.95,2551,6388450
"Denmark","dnk","Europe",1860,45.11,3029,1694397
"Djibouti","dji","Africa",1860,29.9,909,31072
"Dominican Republic","dom","Americas",1860,29.9,831,190922
"Ecuador","ecu","Americas",1860,32.9,685,917213
"Egypt","egy","Africa",1860,33,954,6335975
"El Salvador","slv","Americas",1860,28.7,1367,426145
"Equatorial Guinea","gnq","Africa",1860,29.8,385,91867
"Eritrea","eri","Africa",1860,30.2,591,348752
"Estonia","est","Europe",1860,39,1243,482924
"Ethiopia","eth","Africa",1860,29.7,531,5187597
"Fiji","fji","Asia",1860,26.1,902,133713
"Finland","fin","Europe",1860,38.15,1594,1734254
"France","fra","Europe",1860,43.33,3086,37461341
"Gabon","gab","Africa",1860,30.6,394,221711
"Gambia","gmb","Africa",1860,28.8,843,139176
"Georgia","geo","Europe",1860,31.87,658,1548450
"Germany","deu","Europe",1860,38.37,2509,36383150
"Ghana","gha","Africa",1860,28,730,1658980
"Greece","grc","Europe",1860,36.6,1888,3333279
"Grenada","grd","Americas",1860,37.3,1139,33575
"Guatemala","gtm","Americas",1860,25.81,1190,963300
"Guinea","gin","Africa",1860,30.12,490,1401319
"Guinea-Bissau","gnb","Africa",1860,32,805,286188
"Guyana","guy","Americas",1860,31.12,1594,218524
"Haiti","hti","Americas",1860,29,954,1042297
"Honduras","hnd","Americas",1860,33.9,1127,377151
"Hong Kong, China","hkg","Asia",1860,34.9,1105,68983
"Hungary","hun","Europe",1860,36,1711,5529257
"Iceland","isl","Europe",1860,19.76,1435,79662
"India","ind","Asia",1860,23,1056,204966302
"Indonesia","idn","Asia",1860,30,1058,24209376
"Iran","irn","Asia",1860,25.6,1057,7986219
"Iraq","irq","Asia",1860,31.2,1145,1468222
"Ireland","irl","Europe",1860,38.56,2565,4174177
"Israel","isr","Asia",1860,32,887,229141
"Italy","ita","Europe",1860,29.69,2403,26127905
"Jamaica","jam","Americas",1860,34.2,909,447153
"Japan","jpn","Asia",1860,36.42,1168,33176900
"Jordan","jor","Asia",1860,31.7,1153,254044
"Kazakhstan","kaz","Asia",1860,26.2,1511,2946007
"Kenya","ken","Africa",1860,25.5,1030,2585052
"Kiribati","kir","Asia",1860,24.9,581,20867
"North Korea","prk","Asia",1860,26,545,4542395
"South Korea","kor","Asia",1860,25.8,542,9650608
"Kuwait","kwt","Asia",1860,26,1373,81014
"Kyrgyz Republic","kgz","Asia",1860,23.94,724,765414
"Lao","lao","Asia",1860,31.9,954,687183
"Latvia","lva","Europe",1860,33,996,854350
"Lebanon","lbn","Asia",1860,29.7,1445,438438
"Lesotho","lso","Africa",1860,32.8,407,373508
"Liberia","lbr","Africa",1860,31.1,890,437090
"Libya","lby","Africa",1860,33.1,1719,665152
"Lithuania","ltu","Europe",1860,28.9,1684,1126227
"Luxembourg","lux","Europe",1860,36.9,2338,164944
"Macedonia, FYR","mkd","Europe",1860,36.1,919,558999
"Madagascar","mdg","Africa",1860,30.5,697,2211039
"Malawi","mwi","Africa",1860,30.3,353,741675
"Malaysia","mys","Asia",1860,30.6,1085,655673
"Maldives","mdv","Asia",1860,32.65,842,52965
"Mali","mli","Africa",1860,26.41,613,2034750
"Malta","mlt","Europe",1860,28.7,1131,174027
"Mauritania","mrt","Africa",1860,32,642,452032
"Mauritius","mus","Africa",1860,30.96,1144,279009
"Mexico","mex","Americas",1860,26.9,1265,8432207
"Micronesia, Fed. Sts.","fsm","Asia",1860,26.7,537,20130
"Moldova","mda","Europe",1860,33.15,774,1028627
"Mongolia","mng","Asia",1860,31.8,635,657420
"Montenegro","mne","Europe",1860,35.4,1409,180155
"Morocco","mar","Africa",1860,33.1,769,3531477
"Mozambique","moz","Africa",1860,30.28,404,2955262
"Myanmar","mmr","Asia",1860,30.8,848,4096564
"Namibia","nam","Africa",1860,32.4,984,229599
"Nepal","npl","Asia",1860,32.8,660,4542078
"Netherlands","nld","Europe",1860,36.91,4642,3342346
"New Zealand","nzl","Asia",1860,34.05,3674,157114
"Nicaragua","nic","Americas",1860,25.4,1492,375911
"Niger","ner","Africa",1860,30.8,543,1543423
"Nigeria","nga","Africa",1860,30.4,1058,14374142
"Norway","nor","Europe",1860,50,2033,1580366
"Oman","omn","Asia",1860,32.3,1084,356413
"Pakistan","pak","Asia",1860,25.8,1025,15586758
"Panama","pan","Americas",1860,32.9,1333,154637
"Papua New Guinea","png","Asia",1860,31.5,627,970939
"Paraguay","pry","Americas",1860,35.5,1381,367617
"Peru","per","Americas",1860,35.7,1341,2294268
"Philippines","phl","Asia",1860,30.9,1023,3746791
"Poland","pol","Europe",1860,35.9,1525,14848599
"Portugal","prt","Europe",1860,35.6,1637,4039181
"Qatar","qat","Asia",1860,30.8,1373,14031
"Romania","rou","Europe",1860,35.7,1413,8568953
"Russia","rus","Europe",1860,29.57,1896,44966686
"Rwanda","rwa","Africa",1860,31.8,465,1197896
"St. Lucia","lca","Americas",1860,28.01,1000,27133
"St. Vincent and the Grenadines","vct","Americas",1860,25.99,1100,32213
"Samoa","wsm","Asia",1860,25.4,1608,43781
"Sao Tome and Principe","stp","Africa",1860,31,950,30707
"Saudi Arabia","sau","Asia",1860,32.1,901,2284384
"Senegal","sen","Africa",1860,25.2,605,1326001
"Serbia","srb","Europe",1860,35.5,1809,3055165
"Seychelles","syc","Africa",1860,37,1004,14379
"Sierra Leone","sle","Africa",1860,25.1,893,1042482
"Singapore","sgp","Asia",1860,34,1120,69094
"Slovak Republic","svk","Europe",1860,36.4,1900,2475264
"Slovenia","svn","Europe",1860,36.6,1877,668599
"Solomon Islands","slb","Asia",1860,25.1,419,66648
"Somalia","som","Africa",1860,29.4,735,1285806
"South Africa","zaf","Africa",1860,33.5,1626,2310179
"Spain","esp","Europe",1860,29.5,1878,15609406
"Sri Lanka","lka","Asia",1860,32.6,1142,2493854
"Sudan","sdn","Africa",1860,31.4,631,4739424
"Suriname","sur","Americas",1860,32.9,2149,109079
"Swaziland","swz","Africa",1860,32.3,596,86296
"Sweden","swe","Europe",1860,48.47,2029,3809535
"Switzerland","che","Europe",1860,38,4362,2511573
"Syria","syr","Asia",1860,31.1,1140,1529203
"Tajikistan","tjk","Asia",1860,24.24,703,672986
"Tanzania","tza","Africa",1860,32.2,628,3473380
"Thailand","tha","Asia",1860,30.4,990,5516868
"Timor-Leste","tls","Asia",1860,28.95,587,213713
"Togo","tgo","Africa",1860,31.3,830,633981
"Tonga","ton","Asia",1860,28.2,761,18778
"Trinidad and Tobago","tto","Americas",1860,38.8,1533,100774
"Tunisia","tun","Africa",1860,28.8,870,1112651
"Turkey","tur","Europe",1860,35,1514,11428718
"Turkmenistan","tkm","Asia",1860,24,1250,530801
"Uganda","uga","Africa",1860,25.3,564,2399360
"Ukraine","ukr","Europe",1860,36.6,1012,16253669
"United Arab Emirates","are","Asia",1860,30.7,1248,40222
"United Kingdom","gbr","Europe",1860,43.01,5268,24783522
"United States","usa","Americas",1860,39.41,3714,31936643
"Uruguay","ury","Americas",1860,32.9,4505,221925
"Uzbekistan","uzb","Asia",1860,26.93,570,2812219
"Vanuatu","vut","Asia",1860,24.3,672,32791
"Venezuela","ven","Americas",1860,32.2,817,1500530
"Vietnam","vnm","Asia",1860,32,840,9411019
"Yemen","yem","Asia",1860,23.39,1039,2796168
"Zambia","zmb","Africa",1860,32.6,767,746052
"Zimbabwe","zwe","Africa",1860,33.7,934,1444385
"South Sudan","ssd","Africa",1860,26.67,617,1329906
"Afghanistan","afg","Asia",1870,27.49,716,4169690
"Albania","alb","Europe",1870,35.4,750,610036
"Algeria","dza","Africa",1870,22,1264,3811028
"Angola","ago","Africa",1870,26.98,840,2285417
"Antigua and Barbuda","atg","Americas",1870,33.54,1063,35546
"Argentina","arg","Americas",1870,33.2,3072,1856886
"Armenia","arm","Europe",1870,31.46,625,652450
"Australia","aus","Asia",1870,34.05,5431,1724213
"Austria","aut","Europe",1870,34.4,3439,4556658
"Azerbaijan","aze","Europe",1870,26.63,1026,1391460
"Bahamas","bhs","Americas",1870,35.18,2030,38787
"Bahrain","bhr","Asia",1870,30.3,1921,65422
"Bangladesh","bgd","Asia",1870,25.5,881,24757994
"Barbados","brb","Americas",1870,32.12,1283,161206
"Belarus","blr","Europe",1870,36.2,822,3733161
"Belgium","bel","Europe",1870,40.92,4990,5110891
"Belize","blz","Americas",1870,26.5,813,25745
"Benin","ben","Africa",1870,31,762,1038118
"Bhutan","btn","Asia",1870,28.8,697,115908
"Bolivia","bol","Americas",1870,33,1374,1538001
"Bosnia and Herzegovina","bih","Europe",1870,35.1,790,1320249
"Botswana","bwa","Africa",1870,33.6,507,121600
"Brazil","bra","Americas",1870,31.99,1488,9964419
"Brunei","brn","Asia",1870,29.2,1797,6184
"Bulgaria","bgr","Europe",1870,38.88,1397,2677708
"Burkina Faso","bfa","Africa",1870,29.2,509,2397003
"Burundi","bdi","Africa",1870,31.5,446,1299471
"Cambodia","khm","Asia",1870,35,976,2376103
"Cameroon","cmr","Africa",1870,28.75,799,2158809
"Canada","can","Americas",1870,42.46,2815,3817167
"Cape Verde","cpv","Africa",1870,33.8,657,87122
"Central African Republic","caf","Africa",1870,30,541,610299
"Chad","tcd","Africa",1870,30.9,534,1447743
"Chile","chl","Americas",1870,32,1929,1957051
"China","chn","Asia",1870,31.96,1099,363661158
"Colombia","col","Americas",1870,32,1099,2482542
"Comoros","com","Africa",1870,32.1,747,83370
"Congo, Dem. Rep.","cod","Africa",1870,31.6,647,7179175
"Congo, Rep.","cog","Africa",1870,32.7,701,451853
"Costa Rica","cri","Americas",1870,30.21,1359,138409
"Cote d'Ivoire","civ","Africa",1870,31.16,1075,1526047
"Cuba","cub","Americas",1870,29.66,1946,1424672
"Cyprus","cyp","Europe",1870,38.51,1546,185971
"Czech Republic","cze","Europe",1870,34.95,2653,6627668
"Denmark","dnk","Europe",1870,46.06,3536,1887120
"Djibouti","dji","Africa",1870,29.9,938,33526
"Dominican Republic","dom","Americas",1870,29.9,877,246693
"Ecuador","ecu","Americas",1870,32.9,731,1028649
"Egypt","egy","Africa",1870,33,999,7040615
"El Salvador","slv","Americas",1870,28.7,1487,494137
"Equatorial Guinea","gnq","Africa",1870,29.8,390,95032
"Eritrea","eri","Africa",1870,30.2,606,397927
"Estonia","est","Europe",1870,41.25,1326,529246
"Ethiopia","eth","Africa",1870,29.7,533,5956559
"Fiji","fji","Asia",1870,26.1,933,130491
"Finland","fin","Europe",1870,45.66,1897,1847468
"France","fra","Europe",1870,36.41,3297,38170355
"Gabon","gab","Africa",1870,30.6,394,241457
"Gambia","gmb","Africa",1870,28.8,848,149924
"Georgia","geo","Europe",1870,29.34,690,1696367
"Germany","deu","Europe",1870,38.37,2819,39702235
"Ghana","gha","Africa",1870,28,736,1625206
"Greece","grc","Europe",1870,36.6,1963,3655056
"Grenada","grd","Americas",1870,37.3,1188,37009
"Guatemala","gtm","Americas",1870,25.81,1291,1077038
"Guinea","gin","Africa",1870,30.22,500,1529932
"Guinea-Bissau","gnb","Africa",1870,32,812,307224
"Guyana","guy","Americas",1870,31.12,1705,233706
"Haiti","hti","Americas",1870,29,1056,1155908
"Honduras","hnd","Americas",1870,33.9,1281,405947
"Hong Kong, China","hkg","Asia",1870,34.9,1130,116126
"Hungary","hun","Europe",1870,36,1849,5899196
"Iceland","isl","Europe",1870,38.37,1599,84941
"India","ind","Asia",1870,25.44,1058,213725049
"Indonesia","idn","Asia",1870,30,1075,27062539
"Iran","irn","Asia",1870,25.6,1077,8397441
"Iraq","irq","Asia",1870,31.2,1193,1598592
"Ireland","irl","Europe",1870,41.21,2958,3875492
"Israel","isr","Asia",1870,32,889,252622
"Italy","ita","Europe",1870,29.69,2643,27845334
"Jamaica","jam","Americas",1870,34.2,903,501444
"Japan","jpn","Asia",1870,36.59,1213,34638021
"Jordan","jor","Asia",1870,31.7,1201,264678
"Kazakhstan","kaz","Asia",1870,23.67,1612,3226542
"Kenya","ken","Africa",1870,25.5,1063,2596105
"Kiribati","kir","Asia",1870,24.9,586,22287
"North Korea","prk","Asia",1870,26,539,4656353
"South Korea","kor","Asia",1870,25.8,536,9741935
"Kuwait","kwt","Asia",1870,26,1426,81947
"Kyrgyz Republic","kgz","Asia",1870,21.41,790,838486
"Lao","lao","Asia",1870,31.9,977,764785
"Latvia","lva","Europe",1870,36.32,1062,936818
"Lebanon","lbn","Asia",1870,29.7,1547,465945
"Lesotho","lso","Africa",1870,32.8,409,402517
"Liberia","lbr","Africa",1870,31.1,914,475766
"Libya","lby","Africa",1870,33.1,1943,707627
"Lithuania","ltu","Europe",1870,28.9,1796,1234990
"Luxembourg","lux","Europe",1870,36.9,2631,176056
"Macedonia, FYR","mkd","Europe",1870,36.1,956,611581
"Madagascar","mdg","Africa",1870,30.5,731,2365391
"Malawi","mwi","Africa",1870,30.3,354,746350
"Malaysia","mys","Asia",1870,30.6,1108,839427
"Maldives","mdv","Asia",1870,32.65,841,55543
"Mali","mli","Africa",1870,26.41,615,2235477
"Malta","mlt","Europe",1870,28.7,1239,185742
"Mauritania","mrt","Africa",1870,32,673,471145
"Mauritius","mus","Africa",1870,39.29,1200,332456
"Mexico","mex","Americas",1870,26.9,1237,9338206
"Micronesia, Fed. Sts.","fsm","Asia",1870,26.7,541,21150
"Moldova","mda","Europe",1870,33.15,817,1126725
"Mongolia","mng","Asia",1870,31.8,646,667671
"Montenegro","mne","Europe",1870,35.4,1465,196497
"Morocco","mar","Africa",1870,33.1,782,3782586
"Mozambique","moz","Africa",1870,30.28,407,3211221
"Myanmar","mmr","Asia",1870,30.8,849,4574586
"Namibia","nam","Africa",1870,32.4,1142,230198
"Nepal","npl","Asia",1870,32.8,661,4754129
"Netherlands","nld","Europe",1870,37.34,5262,3622598
"New Zealand","nzl","Asia",1870,34.05,5156,301045
"Nicaragua","nic","Americas",1870,25.4,1659,405582
"Niger","ner","Africa",1870,30.8,569,1634127
"Nigeria","nga","Africa",1870,30.4,1108,15015256
"Norway","nor","Europe",1870,50.86,2483,1746718
"Oman","omn","Asia",1870,32.3,1130,368037
"Pakistan","pak","Asia",1870,25.8,1027,16199658
"Panama","pan","Americas",1870,32.9,1492,176627
"Papua New Guinea","png","Asia",1870,31.5,649,1033573
"Paraguay","pry","Americas",1870,35.5,1565,385864
"Peru","per","Americas",1870,35.7,1377,2616789
"Philippines","phl","Asia",1870,30.9,1039,4382416
"Poland","pol","Europe",1870,35.9,1584,17013787
"Portugal","prt","Europe",1870,35.6,1798,4328374
"Qatar","qat","Asia",1870,30.8,1426,14177
"Romania","rou","Europe",1870,35.7,1620,9151343
"Russia","rus","Europe",1870,31.12,2023,49288504
"Rwanda","rwa","Africa",1870,31.8,471,1283278
"St. Lucia","lca","Americas",1870,28.01,1034,31938
"St. Vincent and the Grenadines","vct","Americas",1870,25.99,1177,35791
"Samoa","wsm","Asia",1870,25.4,1664,40833
"Sao Tome and Principe","stp","Africa",1870,31,968,33124
"Saudi Arabia","sau","Asia",1870,32.1,912,2339375
"Senegal","sen","Africa",1870,25.2,635,1422397
"Serbia","srb","Europe",1870,35.5,1881,3334681
"Seychelles","syc","Africa",1870,37,1044,14884
"Sierra Leone","sle","Africa",1870,25.1,937,1118510
"Singapore","sgp","Asia",1870,34,1145,87515
"Slovak Republic","svk","Europe",1870,36.4,1976,2565369
"Slovenia","svn","Europe",1870,36.6,1951,730072
"Solomon Islands","slb","Asia",1870,25.1,434,68010
"Somalia","som","Africa",1870,29.4,742,1368164
"South Africa","zaf","Africa",1870,33.5,1696,2629836
"Spain","esp","Europe",1870,29.5,1837,16226123
"Sri Lanka","lka","Asia",1870,32.6,1405,2775272
"Sudan","sdn","Africa",1870,31.4,662,4785897
"Suriname","sur","Americas",1870,32.9,2298,117453
"Swaziland","swz","Africa",1870,32.3,625,86592
"Sweden","swe","Europe",1870,45.01,2243,4174365
"Switzerland","che","Europe",1870,38,5263,2663904
"Syria","syr","Asia",1870,31.1,1154,1589363
"Tajikistan","tjk","Asia",1870,21.7,743,736654
"Tanzania","tza","Africa",1870,32.2,645,3592601
"Thailand","tha","Asia",1870,30.4,1004,5852505
"Timor-Leste","tls","Asia",1870,28.95,598,238455
"Togo","tgo","Africa",1870,31.3,871,691667
"Tonga","ton","Asia",1870,28.2,787,19059
"Trinidad and Tobago","tto","Americas",1870,38.8,1618,127290
"Tunisia","tun","Africa",1870,28.8,912,1200115
"Turkey","tur","Europe",1870,35,1597,11871788
"Turkmenistan","tkm","Asia",1870,19.92,1334,581677
"Uganda","uga","Africa",1870,25.3,592,2479244
"Ukraine","ukr","Europe",1870,36.6,1079,17822740
"United Arab Emirates","are","Asia",1870,30.7,1296,40889
"United Kingdom","gbr","Europe",1870,40.95,6046,27651628
"United States","usa","Americas",1870,39.41,4058,40821569
"Uruguay","ury","Americas",1870,32.9,5695,337169
"Uzbekistan","uzb","Asia",1870,24.39,587,3125228
"Vanuatu","vut","Asia",1870,24.3,696,34145
"Venezuela","ven","Americas",1870,32.2,854,1719628
"Vietnam","vnm","Asia",1870,32,834,10284238
"Yemen","yem","Asia",1870,23.39,1069,2866728
"Zambia","zmb","Africa",1870,32.6,786,745105
"Zimbabwe","zwe","Africa",1870,33.7,945,1549480
"South Sudan","ssd","Africa",1870,26.67,648,1462765
"Afghanistan","afg","Asia",1880,27.39,741,4419695
"Albania","alb","Europe",1880,35.4,870,672544
"Algeria","dza","Africa",1880,28.82,1409,4143163
"Angola","ago","Africa",1880,26.98,878,2473597
"Antigua and Barbuda","atg","Americas",1880,33.54,1137,35222
"Argentina","arg","Americas",1880,33.1,3097,2493156
"Armenia","arm","Europe",1880,33,649,713957
"Australia","aus","Asia",1880,39.34,7120,2253007
